timestamp,person_x,person_y,person_z,pepper_x,pepper_y,pepper_z,target_acquired
0.0000,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0055,False
0.0050,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.0100,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.0100,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.0200,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0055,False
0.0250,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0055,False
0.0300,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.0350,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.0400,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.0450,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0055,False
0.0500,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0055,False
0.0550,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.0600,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.0650,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.0700,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0055,False
0.0750,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0055,False
0.0800,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.0800,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.0900,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.0900,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0055,False
0.1000,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0055,False
0.1000,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.1050,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.1150,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.1200,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0055,False
0.1250,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0055,False
0.1300,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.1350,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.1400,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
0.1450,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0055,False
0.1500,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0055,False
0.1550,-3.0000,4.0000,-0.0000,-3.9997,4.0000,0.0056,False
